offer_id,label_tunnel,seuil_data
339,Appels ill. - SMS/MMS ill. - Forfait Internet 1 Go,0
340,Appels illimités - SMS/MMS illimités,0
341,Offre Gifi,103424
342,"L'essentiel",1000000
343,Forfait 2h - 100 SMS/MMS,0
344,Forfait 2h - 250 SMS/MMS - 20 Mo,0
345,Forfait 3h - 500 SMS/MMS - 50 Mo,0
346,Forfait 4h - SMS/MMS illimités - 200 Mo,0
347,Le complet,50000000
348,Forfait 4h - SMS/MMS illimités - 1 Go,0
349,Forfait 6h - SMS/MMS illimités - 3 Go,0
350,Forfait 10h - SMS/MMS illimités - 5 Go,0
351,Appels illimités - SMS/MMS illimités - 20 Go,0
352,"L'essentiel",200000
353,Le complet,50000000
354,"Promo L'essentiel",200000
355,Promo Le complet,50000000
356,"Promo L'essentiel",1000000
357,Promo Le complet,50000000
358,Forfait 2h - SMS/MMS illimités - 10 Mo,0
359,Forfait 3h - SMS/MMS illimités - 50 Mo,0
360,Forfait 4h - SMS/MMS illimités - 100 Mo,0
361,Forfait 6h - SMS/MMS illimités - 200 Mo,0
362,Appels illimités - SMS/MMS illimités - 3 Go,0
363,Appels illimités - SMS/MMS illimités - 15 Go,0
364,Appels illimités - SMS/MMS illimités - 30 Go,0
365,"L'essentiel",1000000
366,"L'essentiel",1000000
367,"Promo L'essentiel",200000
368,"Promo L'essentiel",200000
369,Appels illimités - SMS/MMS illimités - 5 Go,0
370,Appels illimités - SMS/MMS illimités - 50 Go,0
371,Ultimo,100000000
372,Promo Coconut 2018,50000000
373,Promo Coconut 2018,50000000
374,Promo Le complet,50000000
375,Promo Le complet,50000000
376,"Promo L'essentiel",200000
377,"Promo L'essentiel",200000
378,Le complet,50000000
379,Promo Flash 2018,50000000
380,Promo Flash 2018,50000000
381,Promo Star 2018,50000000
382,Promo Star 2018,50000000
383,Appels illimités - SMS/MMS illimités - 5 Go,0
384,Appels illimités - SMS/MMS illimités - 15 Go,0
385,Appels illimités - SMS/MMS illimités - 50 Go,0
386,Série Spéciale,100000000
387,Série Spéciale,100000000
388,Appels illimités - SMS/MMS illimités - 10 Go,0
389,Appels illimités - SMS/MMS illimités - 50 Go,0
390,Appels illimités - SMS/MMS illimités - 100 Go,0
391,Série Spéciale,100000000
392,Série Spéciale,100000000
393,Appels illimités - SMS/MMS illimités - 10 Go,0
394,Appels illimités - SMS/MMS illimités - 50 Go,0
395,Appels illimités - SMS/MMS illimités - 100 Go,0
396,Test Guillaume,100000000
397,Test Guillaume,100000000
398,Promo Le complet,50000000
399,Promo Le complet,50000000
401,Forfait Bloqué 2h - SMS illimités - Forfait Internet 100 Mo,0
402,Forfait Bloqué 6h - SMS illimités - Forfait Internet 500 Mo,0
403,Appels illimités - SMS/MMS illimités - 100 Mo,0
404,Appels illimités - SMS/MMS illimités - 1 Go,0
405,Appels illimités - SMS/MMS illimités - 3 Go,0
406,Appels ill. - SMS/MMS ill. - Forfait Internet 1 Go,0
407,Appels ill. - SMS/MMS ill. - Forfait Internet 4 Go,0
408,Appels ill. - SMS/MMS ill. - Forfait Internet 6 Go,0
409,Forfait 2h - 250 SMS/MMS - 20 Mo,0
410,Forfait 3h - 500 SMS/MMS - 50 Mo,0
411,Forfait 3h - SMS/MMS illimités - 1 Go,0
412,Forfait 6h - SMS/MMS illimités - 3 Go,0
413,Appels illimités - SMS/MMS illimités - 5 Go,0
414,Forfait Bloqué 1h30 - 120 SMS,0
415,Le complet,50000000
416,Le complet,50000000
417,Appels illimités - SMS/MMS illimités - 5 Go,0
418,Appels illimités - SMS/MMS illimités - 15 Go,0
419,Appels illimités - SMS/MMS illimités - 50 Go,0
420,Série Spéciale,100000000
421,Série Spéciale,100000000
422,Appels illimités - SMS/MMS illimités - 10 Go,0
423,Appels illimités - SMS/MMS illimités - 50 Go,0
424,Appels illimités - SMS/MMS illimités - 100 Go,0
425,Modulo MOBILE 4G Pro,10000000
426,Modulo MOBILE 4G Pro,10000000
427,Série Spéciale,100000000
428,Série Spéciale,100000000
430,Série Spéciale,100000000
431,Série Spéciale,100000000
432,Série Spéciale,100000000
433,Série Spéciale,100000000
440,Série Spéciale,100000000
441,Série Spéciale,100000000
442,Série Spéciale,100000000
443,Série Spéciale,100000000
444,Le complet,50000000
445,Le complet,50000000
446,Appels illimités - SMS/MMS illimités - 5 Go,0
447,Appels illimités - SMS/MMS illimités - 15 Go,0
448,Appels illimités - SMS/MMS illimités - 50 Go,0
449,Promo Le complet,50000000
450,Promo Le complet,50000000
455,Premium,100000000
456,Premium,100000000
457,Appels illimités - SMS/MMS illimités - 10 Go,0
458,Appels illimités - SMS/MMS illimités - 50 Go,0
459,Appels illimités - SMS/MMS illimités - 100 Go,0
461,Premium promo,100000000
462,Premium promo,100000000
463,Appels illimités - SMS/MMS illimités - 10 Go,0
464,Appels illimités - SMS/MMS illimités - 50 Go,0
465,Appels illimités - SMS/MMS illimités - 100 Go,0
466,Access,1000000
467,Access,1000000
468,Forfait 2h - SMS/MMS illimités - 10 Mo,0
469,Forfait 3h - SMS/MMS illimités - 50 Mo,0
470,Forfait 4h - SMS/MMS illimités - 100 Mo,0
471,Forfait 6h - SMS/MMS illimités - 200 Mo,0
472,Promo Le complet,50000000
473,Promo Le complet,50000000
474,La Giga Série,200000000
475,La Giga Série,200000000
476,Appels illimités - SMS/MMS illimités - 50 Go,0
477,Appels illimités - SMS/MMS illimités - 100 Go,0
478,Appels illimités - SMS/MMS illimités - 200 Go,0
479,La Giga Série,200000000
480,La Giga Série,200000000
481,Appels illimités - SMS/MMS illimités - 50 Go,0
482,Appels illimités - SMS/MMS illimités - 100 Go,0
483,Appels illimités - SMS/MMS illimités - 200 Go,0
484,La Giga Série,200000000
485,La Giga Série,200000000
486,Appels illimités - SMS/MMS illimités - 50 Go,0
487,Appels illimités - SMS/MMS illimités - 100 Go,0
488,Appels illimités - SMS/MMS illimités - 200 Go,0
489,La Giga Série,200000000
490,La Giga Série,200000000
491,Appels illimités - SMS/MMS illimités - 50 Go,0
492,Appels illimités - SMS/MMS illimités - 100 Go,0
493,Appels illimités - SMS/MMS illimités - 200 Go,0
494,La Giga Série,200000000
495,La Giga Série,200000000
496,La Giga Série,200000000
497,La Giga Série,200000000
498,Appels illimités - SMS/MMS illimités - 50 Go,0
499,Appels illimités - SMS/MMS illimités - 100 Go,0
500,Appels illimités - SMS/MMS illimités - 200 Go,0
501,La Giga Série,200000000
502,La Giga Série,200000000
503,Appels illimités - SMS/MMS illimités - 50 Go,0
504,Appels illimités - SMS/MMS illimités - 100 Go,0
505,Appels illimités - SMS/MMS illimités - 200 Go,0
506,Premium,100000000
507,Appels illimités - SMS/MMS illimités - 10 Go,0
508,Appels illimités - SMS/MMS illimités - 50 Go,0
509,Appels illimités - SMS/MMS illimités - 100 Go,0
510,Appels illimités - SMS/MMS illimités - 3 Go,0
511,Appels illimités - SMS/MMS illimités - 5 Go,0
512,Appels illimités - SMS/MMS illimités - 10 Go,0
513,Appels illimités - SMS/MMS illimités - 3 Go,0
514,Appels illimités - SMS/MMS illimités - 5 Go,0
515,Appels illimités - SMS/MMS illimités - 10 Go,0
516,Le Petit,10000000
517,Le Petit,10000000
518,Le Petit,10000000
519,Le Petit,10000000
520,Appels illimités - SMS/MMS illimités - 20 Go,0
521,Appels illimités - SMS/MMS illimités - 40 Go,0
522,Appels illimités - SMS/MMS illimités - 60 Go,0
523,Appels illimités - SMS/MMS illimités - 20 Go,0
524,Appels illimités - SMS/MMS illimités - 40 Go,0
525,Appels illimités - SMS/MMS illimités - 60 Go,0
526,Le grand,50000000
527,Le grand,50000000
528,Le grand,50000000
529,Le grand,50000000
530,Appels illimités - SMS/MMS illimités - 100 Go,0
531,Appels illimités - SMS/MMS illimités - 150 Go,0
532,Appels illimités - SMS/MMS illimités - 200 Go,0
533,Appels illimités - SMS/MMS illimités - 100 Go,0
534,Appels illimités - SMS/MMS illimités - 150 Go,0
535,Appels illimités - SMS/MMS illimités - 200 Go,0
536,Le Géant,200000000
537,Le Géant,200000000
538,Le Géant,200000000
539,Le Géant,200000000
1016,Test Guillaume VVMILT,100000000
1017,Test Guillaume VVMILT,100000000
